"gene","pLI","oe_lof_upper","category","pli_cat","loefu_cat"
"SYNE2",1.6503e-25,0.372,"plus1_Control","Low","Medium"
"SYT2",0.98133,0.287,"plus1_Control","High","Medium"
"TBX6",0.0068128,0.688,"plus1_Control","Low","High"
"TCF7L2",0.99537,0.273,"plus1_Control","High","Medium"
"TFAP2A",0.98964,0.261,"plus1_Control","High","Medium"
"TGM6",1.1154e-24,1.367,"plus1_Control","Low","High"
"TIMP3",0.63037,0.533,"plus1_Control","Medium","Medium"
"TINF2",0.0012666,0.671,"plus1_Control","Low","High"
"TNPO3",1.7546e-06,0.515,"plus1_Control","Low","Medium"
"TRIM71",0.99969,0.172,"plus1_Control","High","Low"
"TRIO",1,0.139,"plus1_Control","High","Low"
"TRPC6",3.0274e-07,0.654,"plus1_Control","Low","High"
"TRPM4",5.6531e-33,1.099,"plus1_Control","Low","High"
"TRPV4",2.237e-16,1.057,"plus1_Control","Low","High"
"TTC21B",2.704e-26,0.852,"plus1_Control","Low","High"
"TUBA3D",7.2364e-10,1.565,"plus1_Control","Low","High"
"UBAP1",0.91168,0.379,"plus1_Control","High","Medium"
"UCHL1",0.99095,0.212,"plus1_Control","High","Medium"
"VANGL1",0.020285,0.596,"plus1_Control","Low","Medium"
"VCL",0.046788,0.396,"plus1_Control","Low","Medium"
"VEGFC",0.49565,0.478,"plus1_Control","Medium","Medium"
"VPS16",2.2652e-15,0.818,"plus1_Control","Low","High"
"WBP11",0.99994,0.148,"plus1_Control","High","Low"
"WDR11",1.3704e-08,0.532,"plus1_Control","Low","Medium"
"WDR26",1,0.085,"plus1_Control","High","Low"
"WT1",0.99648,0.247,"plus1_Control","High","Medium"
"YAP1",0.99918,0.19,"plus1_Control","High","Low"
"ZFHX3",1,0.136,"plus1_Control","High","Low"
"ZMYM2",0.66648,0.332,"plus1_Control","High","Medium"
"ZNF408",1.1792e-06,0.816,"plus1_Control","Low","High"
"ZNF462",1,0.085,"plus1_Control","High","Low"
"ZP3",0.00028508,0.952,"plus1_Control","Low","High"
"A2ML1",1.6109e-34,0.952,"SNV_Control","Low","High"
"AAGAB",3.8664e-07,1.037,"SNV_Control","Low","High"
"ABCA1",1.4525e-13,0.486,"SNV_Control","Low","Medium"
"ABL1",0.99998,0.176,"SNV_Control","High","Low"
"ACO2",0.20791,0.417,"SNV_Control","Low","Medium"
"ACOX1",0.062095,0.462,"SNV_Control","Low","Medium"
"ACTA1",1.1385e-06,1.223,"SNV_Control","Low","High"
"ADAM10",1,0.117,"SNV_Control","High","Low"
"ADCY10",7.3834e-41,1.034,"SNV_Control","Low","High"
"AFG3L2",5.2511e-09,0.7,"SNV_Control","Low","High"
"AFP",1.1383e-11,0.909,"SNV_Control","Low","High"
"AKAP9",4.5249e-17,0.404,"SNV_Control","Low","Medium"
"ALB",0.64329,0.387,"SNV_Control","Medium","Medium"
"ALG5",0.46347,0.453,"SNV_Control","Medium","Medium"
"ANK2",1,0.106,"SNV_Control","High","Low"
"ANO1",0.87426,0.33,"SNV_Control","High","Medium"
"ARFGEF1",1,0.143,"SNV_Control","High","Low"
"ASB10",2.6403e-12,1.619,"SNV_Control","Low","High"
"ATL1",0.98109,0.308,"SNV_Control","High","Medium"
"ATL3",1.3349e-09,0.904,"SNV_Control","Low","High"
"ATP2A2",0.99945,0.246,"SNV_Control","High","Medium"
"ATR",3.5177e-09,0.399,"SNV_Control","Low","Medium"
"AUTS2",0.99934,0.253,"SNV_Control","High","Medium"
"BEST1",1.8214e-12,1.489,"SNV_Control","Low","High"
"BFSP1",1.8463e-07,1.119,"SNV_Control","Low","High"
"BFSP2",3.2152e-08,1.038,"SNV_Control","Low","High"
"BICC1",0.83685,0.339,"SNV_Control","High","Medium"
"BICD2",0.98272,0.305,"SNV_Control","High","Medium"
"BLVRA",0.00034786,0.922,"SNV_Control","Low","High"
"BMPR1B",0.99863,0.225,"SNV_Control","High","Medium"
"BMPR2",0.99998,0.191,"SNV_Control","High","Low"
"BRPF1",1,0.176,"SNV_Control","High","Low"
"BUB1B",6.998e-10,0.58,"SNV_Control","Low","Medium"
"C5",8.079e-24,0.695,"SNV_Control","Low","High"
"C9",1.6323e-24,1.514,"SNV_Control","Low","High"
"CACNA1C",1,0.102,"SNV_Control","High","Low"
"CACNA1D",1,0.214,"SNV_Control","High","Medium"
"CACNA1E",1,0.124,"SNV_Control","High","Low"
"CACNA1H",4.7778e-10,0.504,"SNV_Control","Low","Medium"
"CACNA1S",6.2588e-12,0.521,"SNV_Control","Low","Medium"
"CAMK2B",0.73914,0.364,"SNV_Control","High","Medium"
"CAPRIN1",0.97247,0.311,"SNV_Control","High","Medium"
"CARD11",0.99995,0.227,"SNV_Control","High","Medium"
"CASP10",4.6392e-12,1.287,"SNV_Control","Low","High"
"CBL",0.00060921,0.503,"SNV_Control","Low","Medium"
"CD46",4.7013e-07,0.896,"SNV_Control","Low","High"
"CDC42BPB",1,0.12,"SNV_Control","High","Low"
"CDC73",0.99995,0.188,"SNV_Control","High","Low"
"CDK13",0.90753,0.324,"SNV_Control","High","Medium"
"CDK8",0.40964,0.418,"SNV_Control","Medium","Medium"
"CDON",2.0608e-15,0.779,"SNV_Control","Low","High"
"CEACAM16",1.5758e-05,1.032,"SNV_Control","Low","High"
"CEBPE",0.0070769,0.995,"SNV_Control","Low","High"
"CEP85L",4.5367e-09,0.707,"SNV_Control","Low","High"
"CETP",1.1892e-23,1.499,"SNV_Control","Low","High"
"CHD3",1,0.147,"SNV_Control","High","Low"
"CHRNA1",2.0681e-08,1.079,"SNV_Control","Low","High"
"CHRNA4",8.5474e-05,0.822,"SNV_Control","Low","High"
"CHRNB1",5.0456e-08,0.996,"SNV_Control","Low","High"
"CLCN2",5.546e-12,0.769,"SNV_Control","Low","High"
"CLCN7",0.27238,0.394,"SNV_Control","Low","Medium"
"CNOT1",1,0.038,"SNV_Control","High","Low"
"COCH",1.2365e-07,0.913,"SNV_Control","Low","High"
"COG4",3.9748e-09,0.713,"SNV_Control","Low","High"
"COL6A3",1.8131e-20,0.562,"SNV_Control","Low","Medium"
"COL9A1",3.0742e-19,0.814,"SNV_Control","Low","High"
"COL9A2",1.0453e-08,0.636,"SNV_Control","Low","High"
"CPA6",4.3984e-17,1.237,"SNV_Control","Low","High"
"CPSF1",3.1043e-10,0.54,"SNV_Control","Low","Medium"
"CREB3L3",8.0596e-14,1.469,"SNV_Control","Low","High"
"CSNK2A1",0.98711,0.297,"SNV_Control","High","Medium"
"CSNK2B",0.91728,0.383,"SNV_Control","High","Medium"
"CTNNA1",0.96962,0.313,"SNV_Control","High","Medium"
"CTNNB1",0.99999,0.129,"SNV_Control","High","Low"
"CUL3",0.9996,0.228,"SNV_Control","High","Medium"
"CUX1",1,0.163,"SNV_Control","High","Low"
"CYP19A1",1.7022e-05,0.877,"SNV_Control","Low","High"
"DCC",0.99448,0.283,"SNV_Control","High","Medium"
"DEAF1",0.00034113,0.698,"SNV_Control","Low","High"
"DHTKD1",2.7884e-30,1.247,"SNV_Control","Low","High"
"DHX30",1,0.115,"SNV_Control","High","Low"
"DICER1",1,0.166,"SNV_Control","High","Low"
"DLL4",0.99982,0.188,"SNV_Control","High","Low"
"DMXL2",1,0.158,"SNV_Control","High","Low"
"DNAJB11",0.22551,0.518,"SNV_Control","Low","Medium"
"DNASE1",6.9801e-21,1.948,"SNV_Control","Low","High"
"DNM1",0.99917,0.252,"SNV_Control","High","Medium"
"DSTYK",0.51262,0.371,"SNV_Control","Medium","Medium"
"DUSP6",0.97603,0.261,"SNV_Control","High","Medium"
"DZIP1",3.1283e-20,1.03,"SNV_Control","Low","High"
"EDN1",0.45504,0.635,"SNV_Control","Medium","High"
"EDN3",0.024568,0.964,"SNV_Control","Low","High"
"EFTUD2",1,0.094,"SNV_Control","High","Low"
"EGFR",0.36837,0.349,"SNV_Control","Medium","Medium"
"EMILIN1",0.0043908,0.512,"SNV_Control","Low","Medium"
"EPHA2",1.073e-05,0.555,"SNV_Control","Low","Medium"
"ERBB3",1.7003e-15,0.685,"SNV_Control","Low","High"
"ESR1",0.9992,0.19,"SNV_Control","High","Low"
"EVC",3.462e-25,1.064,"SNV_Control","Low","High"
"EXT2",1.3179e-09,0.766,"SNV_Control","Low","High"
"F12",8.2526e-08,0.775,"SNV_Control","Low","High"
"F5",5.919e-15,0.562,"SNV_Control","Low","Medium"
"FAR1",0.98504,0.299,"SNV_Control","High","Medium"
"FASLG",0.18345,0.716,"SNV_Control","Low","High"
"FGF23",0.031014,1.28,"SNV_Control","Low","High"
"FGF8",0.67676,0.51,"SNV_Control","High","Medium"
"FGFR2",0.99731,0.27,"SNV_Control","High","Medium"
"FIG4",2.3423e-34,1.24,"SNV_Control","Low","High"
"FLNB",6.0505e-10,0.443,"SNV_Control","Low","Medium"
"FSHR",1.3689e-11,1.215,"SNV_Control","Low","High"
"GABRA1",0.91489,0.367,"SNV_Control","High","Medium"
"GABRB3",0.95138,0.341,"SNV_Control","High","Medium"
"GANAB",0.99873,0.267,"SNV_Control","High","Medium"
"GATA6",0.99709,0.174,"SNV_Control","High","Low"
"GATAD2B",0.99998,0.097,"SNV_Control","High","Low"
"GBF1",4.7521e-15,0.551,"SNV_Control","Low","Medium"
"GDF6",0.98833,0.223,"SNV_Control","High","Medium"
"GH1",0.030057,0.914,"SNV_Control","Low","High"
"GHR",8.4385e-05,0.662,"SNV_Control","Low","High"
"GHSR",0.0065825,1.012,"SNV_Control","Low","High"
"GMNN",0.1149,0.825,"SNV_Control","Low","High"
"GNAL",0.99829,0.206,"SNV_Control","High","Medium"
"GNB1",0.9992,0.145,"SNV_Control","High","Low"
"GRHL3",0.99292,0.277,"SNV_Control","High","Medium"
"GRIA1",0.99869,0.259,"SNV_Control","High","Medium"
"GRIA2",0.99916,0.247,"SNV_Control","High","Medium"
"GRIN1",0.97629,0.309,"SNV_Control","High","Medium"
"GRN",0.069666,0.483,"SNV_Control","Low","Medium"
"GUCY2C",1.3919e-30,1.079,"SNV_Control","Low","High"
"HCN1",0.99989,0.181,"SNV_Control","High","Low"
"HEPACAM",0.86791,0.409,"SNV_Control","High","Medium"
"HESX1",0.00079734,1.237,"SNV_Control","Low","High"
"HMGA2",0.87015,0.449,"SNV_Control","High","Medium"
"HNRNPH1",0.99993,0.109,"SNV_Control","High","Low"
"HNRNPK",0.99998,0.096,"SNV_Control","High","Low"
"HPD",0.00052764,0.666,"SNV_Control","Low","High"
"HSF4",1.0632e-09,1.108,"SNV_Control","Low","High"
"HSPA9",0.96852,0.319,"SNV_Control","High","Medium"
"HTRA1",0.00049201,0.752,"SNV_Control","Low","High"
"HTT",1,0.176,"SNV_Control","High","Low"
"IFITM5",2.1754e-06,1.949,"SNV_Control","Low","High"
"IFNGR1",0.015503,0.7,"SNV_Control","Low","High"
"IKBKB",0.99192,0.29,"SNV_Control","High","Medium"
"IKZF1",0.9986,0.156,"SNV_Control","High","Low"
"IL17RD",1.053e-06,0.688,"SNV_Control","Low","High"
"IMPG1",1.3662e-29,1.354,"SNV_Control","Low","High"
"IMPG2",2.7548e-13,0.72,"SNV_Control","Low","High"
"INSR",3.6145e-05,0.453,"SNV_Control","Low","Medium"
"ITGA2B",1.5205e-16,0.756,"SNV_Control","Low","High"
"ITGB3",0.0017189,0.519,"SNV_Control","Low","Medium"
"JARID2",0.99999,0.188,"SNV_Control","High","Low"
"JPH1",0.76731,0.409,"SNV_Control","High","Medium"
"JUP",0.00080103,0.587,"SNV_Control","Low","Medium"
"KCNC3",0.20575,0.587,"SNV_Control","Low","Medium"
"KCNMA1",0.99731,0.276,"SNV_Control","High","Medium"
"KCNQ3",0.80089,0.356,"SNV_Control","High","Medium"
"KCNQ4",0.46799,0.41,"SNV_Control","Medium","Medium"
"KCNT2",0.041658,0.374,"SNV_Control","Low","Medium"
"KDM1A",0.99667,0.276,"SNV_Control","High","Medium"
"KDM4B",1,0.171,"SNV_Control","High","Low"
"KIF11",1,0.121,"SNV_Control","High","Low"
"KIF21A",2.865e-08,0.456,"SNV_Control","Low","Medium"
"KIF2A",0.99998,0.162,"SNV_Control","High","Low"
"KIF5A",0.99995,0.228,"SNV_Control","High","Medium"
"KLHL24",0.0016745,0.65,"SNV_Control","Low","High"
"KLHL7",4.559e-05,0.643,"SNV_Control","Low","High"
"KRT14",0.00020311,0.846,"SNV_Control","Low","High"
"KRT6A",7.0326e-05,0.843,"SNV_Control","Low","High"
"KRT81",1.2108e-18,1.906,"SNV_Control","Low","High"
"LDB3",9.5733e-06,0.676,"SNV_Control","Low","High"
"LIPC",3.2764e-07,0.93,"SNV_Control","Low","High"
"LMBR1",1.2575e-08,0.826,"SNV_Control","Low","High"
"LMNA",0.9994,0.209,"SNV_Control","High","Medium"
"LPA",6.5917e-89,1.524,"SNV_Control","Low","High"
"LPP",0.0071908,0.56,"SNV_Control","Low","Medium"
"LRP4",1.4386e-06,0.416,"SNV_Control","Low","Medium"
"LRP6",0.69664,0.318,"SNV_Control","High","Medium"
"LRRK2",2.5757e-30,0.64,"SNV_Control","Low","High"
"MAP3K1",0.99998,0.214,"SNV_Control","High","Medium"
"MAPK8IP3",1,0.15,"SNV_Control","High","Low"
"MAPRE2",0.8341,0.406,"SNV_Control","High","Medium"
"MAST1",1,0.159,"SNV_Control","High","Low"
"MCOLN1",0.00058027,0.604,"SNV_Control","Low","High"
"MEIS2",0.99938,0.184,"SNV_Control","High","Low"
"MIB1",3.3574e-88,1.973,"SNV_Control","Low","High"
"MMP13",7.8767e-18,1.524,"SNV_Control","Low","High"
"MPO",7.105e-15,1.145,"SNV_Control","Low","High"
"MSTO1",1.6182e-09,1.076,"SNV_Control","Low","High"
"MTMR14",1.3607e-07,0.691,"SNV_Control","Low","High"
"MYH11",0.77299,0.305,"SNV_Control","High","Medium"
"MYH2",3.6703e-23,0.686,"SNV_Control","Low","High"
"MYOCD",0.33364,0.387,"SNV_Control","Low","Medium"
"MYPN",2.611e-06,0.506,"SNV_Control","Low","Medium"
"NCSTN",0.99942,0.234,"SNV_Control","High","Medium"
"NEDD4L",1,0.198,"SNV_Control","High","Low"
"NEFH",2.6684e-12,1.064,"SNV_Control","Low","High"
"NEXN",3.9115e-11,0.779,"SNV_Control","Low","High"
"NF2",1,0.086,"SNV_Control","High","Low"
"NFIB",0.99861,0.225,"SNV_Control","High","Medium"
"NFKB1",1,0.138,"SNV_Control","High","Low"
"NLRC4",9.8714e-12,0.918,"SNV_Control","Low","High"
"NLRP12",3.6493e-28,1.355,"SNV_Control","Low","High"
"NLRP3",0.00081103,0.519,"SNV_Control","Low","Medium"
"NODAL",0.97028,0.31,"SNV_Control","High","Medium"
"NPR2",4.2042e-05,0.495,"SNV_Control","Low","Medium"
"NPRL2",0.38813,0.47,"SNV_Control","Medium","Medium"
"NR0B2",8.3377e-06,1.638,"SNV_Control","Low","High"
"NRAS",0.49009,0.612,"SNV_Control","Medium","High"
"NSMF",0.26482,0.443,"SNV_Control","Low","Medium"
"OPLAH",6.9736e-17,0.868,"SNV_Control","Low","High"
"OPTN",5.91e-18,1.256,"SNV_Control","Low","High"
"PACS1",0.99999,0.185,"SNV_Control","High","Low"
"PARN",0.00037303,0.519,"SNV_Control","Low","Medium"
"PAX2",0.66999,0.434,"SNV_Control","High","Medium"
"PAX3",0.24063,0.475,"SNV_Control","Low","Medium"
"PAX8",0.99869,0.2,"SNV_Control","High","Low"
"PAX9",0.30866,0.614,"SNV_Control","Low","High"
"PBX1",0.99527,0.255,"SNV_Control","High","Medium"
"PDE10A",0.99986,0.213,"SNV_Control","High","Medium"
"PDE11A",8.6896e-37,1.404,"SNV_Control","Low","High"
"PDE6H",0.0082921,1.807,"SNV_Control","Low","High"
"PDE8B",0.99905,0.249,"SNV_Control","High","Medium"
"PIEZO1",3.9379e-21,0.581,"SNV_Control","Low","Medium"
"PIGT",7.2959e-10,0.948,"SNV_Control","Low","High"
"PIK3R2",0.016273,0.489,"SNV_Control","Low","Medium"
"PIKFYVE",1.1074e-06,0.389,"SNV_Control","Low","Medium"
"PITPNM3",0.99992,0.206,"SNV_Control","High","Medium"
"PLCD1",1.737e-19,1.103,"SNV_Control","Low","High"
"PLG",0.010345,0.443,"SNV_Control","Low","Medium"
"PLIN1",3.1486e-11,1.26,"SNV_Control","Low","High"
"PNPT1",0.00040072,0.475,"SNV_Control","Low","Medium"
"POFUT1",0.96303,0.33,"SNV_Control","High","Medium"
"POLD1",2.4179e-06,0.527,"SNV_Control","Low","Medium"
"POLE",8.0488e-27,0.64,"SNV_Control","Low","High"
"POLG2",1.528e-10,1.059,"SNV_Control","Low","High"
"POLR1A",0.9998,0.256,"SNV_Control","High","Medium"
"POLR3B",1.6812e-23,0.868,"SNV_Control","Low","High"
"POLR3F",1.038e-06,1.067,"SNV_Control","Low","High"
"POLRMT",1.739e-20,0.943,"SNV_Control","Low","High"
"POU6F2",0.0015216,0.557,"SNV_Control","Low","Medium"
"PPP1R12A",1,0.13,"SNV_Control","High","Low"
"PRDM16",0.99999,0.187,"SNV_Control","High","Low"
"PRDX3",0.0042426,0.877,"SNV_Control","Low","High"
"PRKCG",0.99985,0.203,"SNV_Control","High","Medium"
"PRLR",0.98732,0.293,"SNV_Control","High","Medium"
"PRODH",5.3577e-12,1.1,"SNV_Control","Low","High"
"PROM1",1.9485e-22,1.051,"SNV_Control","Low","High"
"PRPF6",0.0032101,0.441,"SNV_Control","Low","Medium"
"PRPH",4.7898e-14,1.383,"SNV_Control","Low","High"
"PRSS1",4.1384e-11,1.863,"SNV_Control","Low","High"
"PSAP",0.99051,0.285,"SNV_Control","High","Medium"
"PSENEN",0.87614,0.439,"SNV_Control","High","Medium"
"RAD54L",2.3634e-15,0.97,"SNV_Control","Low","High"
"RBM20",0.98954,0.295,"SNV_Control","High","Medium"
"REEP2",0.43941,0.549,"SNV_Control","Medium","Medium"
"RHAG",0.010404,0.65,"SNV_Control","Low","High"
"RHOBTB2",0.013306,0.497,"SNV_Control","Low","Medium"
"RIT1",0.13281,0.645,"SNV_Control","Low","High"
"RNASEL",1.9513e-10,1.133,"SNV_Control","Low","High"
"RNF170",0.51091,0.52,"SNV_Control","Medium","Medium"
"RNF213",4.9078e-55,0.656,"SNV_Control","Low","High"
"ROBO4",2.942e-15,0.909,"SNV_Control","Low","High"
"RP9",0.018956,0.803,"SNV_Control","Low","High"
"RPS24",0.68141,0.591,"SNV_Control","High","Medium"
"RTN2",0.41643,0.417,"SNV_Control","Medium","Medium"
"RYR2",0.99999,0.25,"SNV_Control","High","Medium"
"SCAF4",1,0.106,"SNV_Control","High","Low"
"SCN1B",0.10186,1.265,"SNV_Control","Low","High"
"SCN3A",1,0.174,"SNV_Control","High","Low"
"SEC61A1",0.98675,0.295,"SNV_Control","High","Medium"
"SEMA3A",0.9779,0.307,"SNV_Control","High","Medium"
"SERPINA6",8.3448e-07,1.488,"SNV_Control","Low","High"
"SERPIND1",2.5137e-10,1.497,"SNV_Control","Low","High"
"SETX",0.95483,0.296,"SNV_Control","High","Medium"
"SF3B2",0.99992,0.222,"SNV_Control","High","Medium"
"SLC12A2",0.96153,0.31,"SNV_Control","High","Medium"
"SLC16A1",0.00073565,0.821,"SNV_Control","Low","High"
"SLC17A8",0.0013196,0.608,"SNV_Control","Low","High"
"SLC30A2",0.080883,0.615,"SNV_Control","Low","High"
"SLC39A14",0.15001,0.554,"SNV_Control","Low","Medium"
"SLC6A5",8.977e-15,0.967,"SNV_Control","Low","High"
"SMAD2",0.99661,0.259,"SNV_Control","High","Medium"
"SMARCA4",1,0.055,"SNV_Control","High","Low"
"SMARCE1",0.99915,0.191,"SNV_Control","High","Low"
"SPEN",1,0.071,"SNV_Control","High","Low"
"SPTAN1",1,0.101,"SNV_Control","High","Low"
"STAT3",1,0.095,"SNV_Control","High","Low"
"STEAP3",5.3195e-09,1.344,"SNV_Control","Low","High"
"SUPT16H",1,0.12,"SNV_Control","High","Low"
"SYNE2",1.6503e-25,0.372,"SNV_Control","Low","Medium"
"SYT2",0.98133,0.287,"SNV_Control","High","Medium"
"TBX3",0.98907,0.281,"SNV_Control","High","Medium"
"TCF3",0.025824,0.498,"SNV_Control","Low","Medium"
"TCF7L2",0.99537,0.273,"SNV_Control","High","Medium"
"TERT",0.99046,0.293,"SNV_Control","High","Medium"
"TFG",0.14061,0.511,"SNV_Control","Low","Medium"
"TGFB1",0.03685,0.614,"SNV_Control","Low","High"
"TGFBR1",0.85379,0.383,"SNV_Control","High","Medium"
"TGM6",1.1154e-24,1.367,"SNV_Control","Low","High"
"TIMELESS",9.8476e-35,0.977,"SNV_Control","Low","High"
"TINF2",0.0012666,0.671,"SNV_Control","Low","High"
"TNFRSF13B",2.0908e-15,1.958,"SNV_Control","Low","High"
"TNNI3K",3.0654e-48,1.427,"SNV_Control","Low","High"
"TNPO3",1.7546e-06,0.515,"SNV_Control","Low","Medium"
"TRAF3",0.99869,0.224,"SNV_Control","High","Medium"
"TRIO",1,0.139,"SNV_Control","High","Low"
"TRPV4",2.237e-16,1.057,"SNV_Control","Low","High"
"TSC1",1,0.118,"SNV_Control","High","Low"
"TSPAN12",0.69473,0.457,"SNV_Control","High","Medium"
"TTC21B",2.704e-26,0.852,"SNV_Control","Low","High"
"TUBA3D",7.2364e-10,1.565,"SNV_Control","Low","High"
"UBA2",0.99851,0.241,"SNV_Control","High","Medium"
"UBAP1",0.91168,0.379,"SNV_Control","High","Medium"
"UCP3",9.5517e-10,1.737,"SNV_Control","Low","High"
"VCAN",1,0.199,"SNV_Control","High","Low"
"VCL",0.046788,0.396,"SNV_Control","Low","Medium"
"VEGFC",0.49565,0.478,"SNV_Control","Medium","Medium"
"VPS16",2.2652e-15,0.818,"SNV_Control","Low","High"
"VWF",3.2187e-25,0.593,"SNV_Control","Low","Medium"
"WDFY3",1,0.071,"SNV_Control","High","Low"
"WDR11",1.3704e-08,0.532,"SNV_Control","Low","Medium"
"WDR26",1,0.085,"SNV_Control","High","Low"
"ZBTB7A",0.95915,0.329,"SNV_Control","High","Medium"
"ZFHX3",1,0.136,"SNV_Control","High","Low"
"ZMYM2",0.66648,0.332,"SNV_Control","High","Medium"
"ZNF462",1,0.085,"SNV_Control","High","Low"
